,resultId,raceId,driverId,constructorId,number,grid,position,positionText,positionOrder,points,laps,time,milliseconds,fastestLap,rank,fastestLapTime,fastestLapSpeed,statusId,fp1Pos,fp1Laps,fp2Pos,fp2Laps
1281,23413,970,828,15,9,14,15,15,15,0.0,55,\N,\N,50,16,1:39.732,196.763,11,13,4,18,25
1282,23414,970,4,1,14,13,\N,R,16,0.0,33,\N,\N,31,15,1:39.496,197.230,30,7,5,17,17
1283,23415,970,826,5,26,9,\N,R,17,0.0,18,\N,\N,18,17,1:40.090,196.059,9,6,4,15,23
1284,23416,970,838,1,2,15,\N,R,18,0.0,17,\N,\N,15,18,1:41.460,193.412,32,12,4,19,21
1285,23417,970,841,15,36,18,\N,R,19,0.0,3,\N,\N,\N,0,\N,\N,3,14,4,20,24
1286,23418,970,840,3,18,10,\N,R,20,0.0,0,\N,\N,\N,0,\N,\N,4,3,7,8,24
1287,23419,971,20,6,5,3,1,1,1,25.0,57,1:33:53.374,5633374,36,4,1:33.826,207.652,1,1,21,1,29
1288,23420,971,1,131,44,2,2,2,2,18.0,57,+6.660,5640034,46,1,1:32.798,209.952,1,10,28,5,35
1289,23421,971,822,131,77,1,3,3,3,15.0,57,+20.397,5653771,33,5,1:34.087,207.076,1,14,27,2,35
1290,23422,971,8,6,7,5,4,4,4,12.0,57,+22.475,5655849,55,3,1:33.720,207.887,1,20,6,4,34
1291,23423,971,817,9,3,4,5,5,5,10.0,57,+39.346,5672720,42,2,1:33.495,208.387,1,2,22,3,28
1292,23424,971,13,3,19,8,6,6,6,8.0,57,+54.326,5687700,39,6,1:34.256,206.705,1,5,24,7,37
1293,23425,971,815,10,11,18,7,7,7,6.0,57,+1:02.606,5695980,39,7,1:34.609,205.933,1,4,22,15,34
1294,23426,971,154,210,8,9,8,8,8,4.0,57,+1:14.865,5708239,33,8,1:34.948,205.198,1,9,21,9,34
1295,23427,971,807,4,27,7,9,9,9,2.0,57,+1:20.188,5713562,40,12,1:35.372,204.286,1,12,13,6,37
1296,23428,971,839,10,31,14,10,10,10,1.0,57,+1:35.711,5729085,39,11,1:35.179,204.700,1,7,23,12,38
1297,23429,971,836,15,94,13,11,11,11,0.0,56,\N,\N,43,17,1:36.786,201.301,11,18,23,19,29
1298,23430,971,826,5,26,11,12,12,12,0.0,56,\N,\N,45,9,1:34.985,205.118,11,11,13,10,35
1299,23431,971,835,4,30,10,13,13,13,0.0,56,\N,\N,43,13,1:35.552,203.901,11,15,19,13,38
1300,23432,971,4,1,14,15,14,14,14,0.0,54,\N,\N,47,14,1:35.595,203.809,131,8,14,14,31
1301,23433,971,828,15,9,19,\N,R,15,0.0,50,\N,\N,35,10,1:35.086,204.900,6,17,24,17,34
1302,23434,971,832,5,55,16,\N,R,16,0.0,12,\N,\N,8,18,1:38.026,198.755,4,19,16,18,5
1303,23435,971,840,3,18,12,\N,R,17,0.0,12,\N,\N,10,15,1:36.303,202.311,4,6,25,16,36
1304,23436,971,830,9,33,6,\N,R,18,0.0,11,\N,\N,4,16,1:36.681,201.520,23,3,23,8,18
1305,23437,971,825,210,20,20,\N,R,19,0.0,8,\N,\N,6,19,1:38.718,197.362,10,16,21,11,33
1306,23438,971,838,1,2,17,\N,R,20,0.0,0,\N,\N,\N,0,\N,\N,131,13,10,20,8
1307,23439,972,822,131,77,3,1,1,1,25.0,52,1:28:08.743,5288743,49,3,1:37.367,216.221,1,2,24,3,36
1308,23440,972,20,6,5,1,2,2,2,18.0,52,+0.617,5289360,49,2,1:37.312,216.343,1,5,19,1,36
1309,23441,972,8,6,7,2,3,3,3,15.0,52,+11.000,5299743,49,1,1:36.844,217.388,1,1,19,2,36
1310,23442,972,1,131,44,4,4,4,4,12.0,52,+36.320,5325063,18,6,1:38.398,213.955,1,3,23,4,34
1311,23443,972,830,9,33,7,5,5,5,10.0,52,+1:00.416,5349159,47,8,1:38.429,213.888,1,4,19,5,15
1312,23444,972,815,10,11,9,6,6,6,8.0,52,+1:26.788,5375531,51,9,1:38.661,213.385,1,7,29,10,38
1313,23445,972,839,10,31,10,7,7,7,6.0,52,+1:35.004,5383747,50,10,1:38.745,213.203,1,10,28,11,39
1314,23446,972,807,4,27,8,8,8,8,4.0,52,+1:36.188,5384931,52,7,1:38.418,213.912,1,-1,-1,8,38
1315,23447,972,13,3,19,6,9,9,9,2.0,51,\N,\N,45,4,1:38.232,214.317,11,8,29,7,39
1316,23448,972,832,5,55,14,10,10,10,1.0,51,\N,\N,51,11,1:38.858,212.960,11,14,17,15,36
1317,23449,972,840,3,18,11,11,11,11,0.0,51,\N,\N,50,12,1:38.870,212.934,11,9,30,19,36
1318,23450,972,826,5,26,12,12,12,12,0.0,51,\N,\N,50,5,1:38.300,214.168,11,11,17,17,35
1319,23451,972,825,210,20,13,13,13,13,0.0,51,\N,\N,40,13,1:39.566,211.445,11,12,23,9,31
1320,23452,972,838,1,2,20,14,14,14,0.0,51,\N,\N,47,14,1:39.790,210.971,11,17,19,16,25
1321,23453,972,828,15,9,18,15,15,15,0.0,51,\N,\N,48,15,1:39.835,210.875,11,19,20,20,29
1322,23454,972,836,15,94,17,16,16,16,0.0,50,\N,\N,37,16,1:40.922,208.604,12,18,21,18,30
1323,23455,972,817,9,3,5,\N,R,17,0.0,5,\N,\N,4,17,1:42.285,205.824,23,6,19,6,26
1324,23456,972,835,4,30,16,\N,R,18,0.0,0,\N,\N,\N,0,\N,\N,4,15,16,13,22
1325,23457,972,154,210,8,19,\N,R,19,0.0,0,\N,\N,\N,0,\N,\N,4,16,17,14,31
1326,23458,972,4,1,14,15,\N,W,20,0.0,0,\N,\N,\N,0,\N,\N,131,13,16,12,27
1327,23459,973,1,131,44,1,1,1,1,25.0,66,1:35:56.497,5756497,64,1,1:23.593,200.471,1,1,28,1,39
1328,23460,973,20,6,5,2,2,2,2,18.0,66,+3.490,5759987,43,2,1:23.674,200.277,1,4,23,4,36
1329,23461,973,817,9,3,6,3,3,3,15.0,66,+1:15.820,5832317,40,3,1:23.686,200.248,1,6,17,6,35
1330,23462,973,815,10,11,8,4,4,4,12.0,65,\N,\N,51,7,1:25.755,195.417,11,11,23,14,32
1331,23463,973,839,10,31,10,5,5,5,10.0,65,\N,\N,40,11,1:26.276,194.237,11,12,22,12,37
1332,23464,973,807,4,27,13,6,6,6,8.0,65,\N,\N,56,15,1:26.703,193.280,11,9,24,7,40
1333,23465,973,832,5,55,12,7,7,7,6.0,65,\N,\N,61,9,1:26.186,194.439,11,10,21,10,34
1334,23466,973,836,15,94,15,8,8,8,4.0,65,\N,\N,58,14,1:26.476,193.787,11,17,24,19,31
1335,23467,973,826,5,26,19,9,9,9,2.0,65,\N,\N,37,8,1:25.976,194.914,11,15,18,18,27
1336,23468,973,154,210,8,14,10,10,10,1.0,65,\N,\N,50,17,1:26.871,192.906,11,8,23,11,36
1337,23469,973,828,15,9,16,11,11,11,0.0,64,\N,\N,60,10,1:26.213,194.379,12,16,23,16,37
1338,23470,973,4,1,14,7,12,12,12,0.0,64,\N,\N,64,4,1:23.894,199.752,12,20,1,20,21
1339,23471,973,13,3,19,9,13,13,13,0.0,64,\N,\N,64,13,1:26.472,193.796,12,14,34,9,38
1340,23472,973,825,210,20,11,14,14,14,0.0,64,\N,\N,15,12,1:26.371,194.023,12,7,22,15,32
1341,23473,973,835,4,30,17,15,15,15,0.0,64,\N,\N,44,6,1:24.843,197.517,12,-1,-1,8,43
1342,23474,973,840,3,18,18,16,16,16,0.0,64,\N,\N,50,16,1:26.838,192.980,12,18,34,17,35
1343,23475,973,822,131,77,3,\N,R,17,0.0,38,\N,\N,28,5,1:24.696,197.860,131,2,30,2,38
1344,23476,973,838,1,2,20,\N,R,18,0.0,32,\N,\N,14,18,1:27.554,191.401,4,13,24,13,36
1345,23477,973,830,9,33,5,\N,R,19,0.0,1,\N,\N,\N,0,\N,\N,130,5,22,5,29
1346,23478,973,8,6,7,4,\N,R,20,0.0,0,\N,\N,\N,0,\N,\N,130,3,24,3,34
1347,23479,974,20,6,5,2,1,1,1,25.0,78,1:44:44.340,6284340,38,2,1:15.238,159.669,1,2,34,1,38
1348,23480,974,8,6,7,1,2,2,2,18.0,78,+3.145,6287485,39,3,1:15.527,159.058,1,7,37,3,46
1349,23481,974,817,9,3,5,3,3,3,15.0,78,+3.745,6288085,51,4,1:15.756,158.577,1,5,45,2,35
1350,23482,974,822,131,77,3,4,4,4,12.0,78,+5.517,6289857,22,9,1:16.439,157.160,1,4,40,10,39
1351,23483,974,830,9,33,4,5,5,5,10.0,78,+6.199,6290539,56,8,1:16.329,157.387,1,3,32,6,36
1352,23484,974,832,5,55,6,6,6,6,8.0,78,+12.038,6296378,39,14,1:16.649,156.730,1,9,39,5,43
1353,23485,974,1,131,44,13,7,7,7,6.0,78,+15.801,6300141,54,5,1:15.825,158.433,1,1,40,8,31
1354,23486,974,154,210,8,8,8,8,8,4.0,78,+18.150,6302490,45,18,1:17.095,155.823,1,15,33,14,44
1355,23487,974,13,3,19,14,9,9,9,2.0,78,+19.445,6303785,50,12,1:16.543,156.947,1,11,37,13,46
1356,23488,974,825,210,20,11,10,10,10,1.0,78,+21.443,6305783,44,7,1:16.313,157.420,1,13,34,9,46
1357,23489,974,835,4,30,16,11,11,11,0.0,78,+22.737,6307077,55,13,1:16.614,156.801,1,17,42,18,8
1358,23490,974,839,10,31,15,12,12,12,0.0,78,+23.725,6308065,52,10,1:16.482,157.072,1,10,39,15,47
1359,23491,974,815,10,11,7,13,13,13,0.0,78,+39.089,6323429,76,1,1:14.820,160.561,1,8,32,7,45
1360,23492,974,826,5,26,9,14,14,14,0.0,71,\N,\N,43,11,1:16.539,156.955,130,6,42,4,41
1361,23493,974,840,3,18,17,15,15,15,0.0,71,\N,\N,71,6,1:16.075,157.912,23,16,44,16,27
1362,23494,974,838,1,2,12,\N,R,16,0.0,66,\N,\N,45,15,1:16.665,156.697,3,12,38,11,42
1363,23495,974,828,15,9,19,\N,R,17,0.0,63,\N,\N,39,16,1:16.829,156.362,3,20,3,19,32
